Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
1014,-1,100,100,85,96,100,70,50,100,100,70,100,100,100,100,100,100,100,70,100,1
1015,-1,70,50,50,50,85,70,85,60,50,30,50,85,85,85,70,85,50,70,40,2
1016,-1,40,50,50,50,60,40,60,70,70,70,50,70,70,70,50,70,70,50,60,1
1017,-1,1,41,28,69,94,5,31,52,99,7,85,91,26,97,0,91,93,96,51,1
1018,-1,15,30,40,15,50,50,50,40,60,40,70,70,50,60,40,85,60,70,40,1
1019,-1,100,40,15,60,70,60,100,60,40,40,30,15,100,100,50,85,15,40,15,2
1020,-1,70,85,70,70,85,85,70,100,85,70,50,85,85,85,50,85,85,85,70,1
1021,-1,30,30,40,70,70,50,40,60,50,15,40,40,70,50,60,70,50,70,15,2
1022,-1,84,50,82,85,60,31,29,51,50,50,30,50,84,51,51,50,50,70,61,1
1023,-1,100,16,0,50,100,61,100,70,0,16,60,0,100,100,100,100,40,70,0,2
1024,-1,50,50,1,16,85,60,90,35,75,20,70,0,100,80,75,85,50,85,0,2
1025,-1,60,50,50,50,70,60,60,30,50,30,70,50,70,70,70,85,50,70,0,2
1026,-1,50,30,30,30,70,50,50,85,50,50,40,30,85,50,70,40,50,50,30,2
1027,-1,74,20,17,16,60,70,83,61,29,40,83,35,85,61,85,84,40,72,5,2
1028,-1,70,30,60,70,100,0,60,85,100,30,0,100,70,100,50,85,100,100,60,4
1029,-1,16,48,46,50,60,61,83,50,33,60,61,30,97,49,51,82,3,74,2,2
1030,-1,70,70,85,70,85,50,40,70,70,50,50,50,85,85,40,85,70,70,70,1
1031,-1,50,30,40,73,61,24,66,50,49,43,60,54,75,55,39,61,51,50,42,3
1032,-1,0,100,100,85,85,0,15,30,100,0,30,100,40,100,0,30,100,100,100,1
1033,-1,70,70,72,70,85,41,85,70,50,60,50,50,85,50,70,70,50,70,50,2
1034,-1,70,60,15,60,60,70,85,70,50,70,85,60,100,70,85,85,70,85,50,2
1035,-1,51,52,60,14,-9,51,70,64,85,35,50,49,61,98,-9,100,60,98,0,2
