Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
2255,3,3,1,1,99,2,8,25,6,13,0,1,3,6,2,4,3,1,1,1,19,0,30,30,48,60,60,40,48,40,50,30,50,50,50,50,40,60,50,100,40,1
2256,5,4,1,1,99,2,4,39,1,9,14,1,0,1,1,1,0,1,1,2,24,0,43,46,43,52,79,29,65,75,72,34,60,41,72,51,53,84,64,88,19,1
2257,7,1,1,1,2,2,8,66,1,14,13,5,3,1,1,1,0,1,1,2,23,0,1,94,86,91,71,42,4,61,99,4,51,52,41,99,3,71,89,89,61,1
2258,7,3,0,1,6,1,2,70,1,13,13,5,3,2,1,1,0,1,0,2,19,0,85,30,15,60,85,70,85,40,30,15,70,70,100,85,60,100,15,70,40,1
2259,7,2,0,1,4,1,1,63,4,10,0,5,0,1,1,1,0,1,1,2,21,0,50,50,60,70,60,40,50,70,50,60,60,50,70,50,50,85,50,60,40,1
2260,7,1,0,2,1,2,8,24,6,9,0,1,1,2,1,1,0,2,1,1,3,0,71,99,1,50,1,1,1,1,98,1,63,70,98,85,1,62,71,63,100,1
2261,5,3,1,1,3,1,5,61,6,13,0,5,0,1,1,1,0,1,2,2,9,0,15,85,85,30,85,40,15,60,85,15,40,85,70,85,15,85,70,85,70,1
2262,7,3,0,1,4,1,2,20,5,13,10,1,0,2,1,1,0,1,1,1,15,0,85,83,32,68,90,70,62,70,52,69,50,66,96,68,60,15,52,80,100,1
2263,7,1,1,1,1,2,4,68,6,13,13,1,2,1,1,1,0,1,1,1,26,0,40,85,85,85,100,70,15,60,100,30,85,100,50,100,1,85,100,85,70,1
2264,4,3,2,1,3,2,6,23,6,8,8,1,0,5,1,1,0,1,0,2,1,0,50,40,15,30,60,50,70,50,50,40,50,30,50,50,70,100,50,50,15,1
2265,4,4,4,1,3,2,4,19,6,10,0,8,2,5,3,4,3,1,1,4,7,0,50,15,100,100,100,15,50,85,100,60,50,100,100,100,50,100,100,100,50,1
2266,7,1,1,1,5,1,4,74,1,13,9,1,0,1,1,1,0,1,1,3,6,0,30,50,30,50,70,60,60,60,50,15,40,50,70,50,15,85,50,60,15,1
2267,7,3,4,1,99,1,1,36,4,11,0,1,0,1,1,1,0,1,2,2,7,0,50,50,50,30,50,15,50,40,40,30,50,70,85,85,50,85,40,85,40,1
2268,7,2,0,2,6,1,1,55,3,10,0,1,2,1,1,1,0,1,1,1,11,0,50,1,6,6,98,50,91,2,50,29,50,1,99,96,59,97,1,85,1,1
2269,7,1,2,1,7,1,1,71,1,9,9,5,2,1,1,1,0,1,0,3,0,0,100,50,1,1,85,70,100,50,1,50,85,50,100,100,70,100,1,100,1,1
2270,7,2,1,1,7,1,8,61,1,8,9,1,2,6,1,1,0,1,1,1,13,0,100,50,15,50,100,85,100,60,50,60,85,50,100,100,70,85,1,85,15,1
2271,6,1,2,2,7,2,7,51,4,13,12,1,2,1,1,1,0,1,1,1,12,0,50,10,7,30,70,60,100,54,50,48,61,15,50,50,95,85,50,98,1,1
2272,4,2,4,1,4,1,1,55,4,13,0,4,3,1,1,1,0,1,1,2,26,0,35,83,71,53,77,40,62,66,81,46,54,51,66,80,34,67,72,85,40,1
2273,7,3,0,1,6,1,2,48,1,14,13,1,3,1,2,1,0,1,1,2,19,0,70,70,15,50,85,50,100,70,40,60,50,40,100,85,85,85,40,85,15,1
2274,7,3,1,1,4,1,7,76,3,9,0,5,2,2,3,4,3,2,0,1,2,0,60,100,70,70,100,0,40,0,60,0,0,60,70,85,1,70,70,85,100,1
